,CensusId,State,County,Unemployment,Latitude,Longitude
31,1063,Alabama,Greene,20.4,32.9718107,-87.9334803
32,1065,Alabama,Hale,13.3,32.7859102,-87.6186379
33,1067,Alabama,Henry,8.1,31.4469377,-85.1894045
34,1069,Alabama,Houston,8.3,34.1414925,-87.2580686
35,1071,Alabama,Jackson,10.1,31.5090521,-87.8944435
36,1073,Alabama,Jefferson,9.1,32.3859585,-87.9017188
37,1075,Alabama,Lamar,10.2,33.6923649,-88.0900762
38,1077,Alabama,Lauderdale,7.1,34.8840876,-87.658113
39,1079,Alabama,Lawrence,9.8,34.567428,-87.30161319999999
40,1081,Alabama,Lee,7.3,32.5888702,-85.39627689999999
41,1083,Alabama,Limestone,7.8,34.78000720000001,-86.9423801
42,1085,Alabama,Lowndes,13.2,32.221464,-86.6611083
43,1087,Alabama,Macon,16.9,32.3731182,-85.684578
44,1089,Alabama,Madison,8.5,34.6992579,-86.74833180000002
45,1091,Alabama,Marengo,11.4,32.2459085,-87.77633329999999
46,1093,Alabama,Marion,9.9,32.6323536,-87.3191655
47,1095,Alabama,Marshall,8.4,34.3652297,-86.3376761
48,1097,Alabama,Mobile,9.8,30.6953657,-88.0398912
49,1099,Alabama,Monroe,20.7,31.5119068,-87.460397
50,1101,Alabama,Montgomery,8.8,32.3792233,-86.3077368
51,1103,Alabama,Morgan,9.9,34.4240875,-86.86218269999999
52,1105,Alabama,Perry,11.2,32.598888,-87.30161319999999
53,1107,Alabama,Pickens,13.8,33.3339954,-88.0900762
54,1109,Alabama,Pike,10.2,31.8395163,-86.0121573
55,1111,Alabama,Randolph,10.3,32.8996333,-86.9112451
56,1113,Alabama,Russell,11.1,32.3552497,-85.1894045
57,1115,Alabama,St. Clair,8.4,33.6530112,-86.3376761
58,1117,Alabama,Shelby,5.5,33.1086539,-86.5835907
59,1119,Alabama,Sumter,16.8,32.6155551,-88.24611829999999
60,1121,Alabama,Talladega,13.8,33.4359416,-86.1058048
61,1123,Alabama,Tallapoosa,9.0,32.9201244,-85.84862360000001
62,1125,Alabama,Tuscaloosa,7.6,33.2098407,-87.56917349999999
63,1127,Alabama,Walker,11.4,33.8563605,-87.30161319999999
64,1129,Alabama,Washington,20.0,31.3422346,-88.24611829999999
65,1131,Alabama,Wilcox,20.8,32.0105439,-87.3413599
66,1133,Alabama,Winston,9.6,34.1690087,-87.3413599
67,2013,Alaska,Aleutians East Borough,2.9,55.53880059999999,-161.8988535
68,2016,Alaska,Aleutians West Census Area,2.1,52.3232697,-174.1596072
69,2020,Alaska,Anchorage Municipality,6.7,61.2180556,-149.9002778
70,2050,Alaska,Bethel Census Area,17.6,61.09344600000001,-160.8640773
71,2060,Alaska,Bristol Bay Borough,5.4,58.7578504,-156.7792687
72,2068,Alaska,Denali Borough,2.3,63.82571729999999,-149.7317835
73,2070,Alaska,Dillingham Census Area,12.5,59.80677919999999,-157.7242585
74,2090,Alaska,Fairbanks North Star Borough,7.9,64.9526102,-146.4744154
75,2100,Alaska,Haines Borough,3.0,59.1392237,-135.0
76,2105,Alaska,Hoonah-Angoon Census Area,13.1,58.31765049999999,-136.0390896
77,2110,Alaska,Juneau City and Borough,5.2,58.3019444,-134.4197221
78,2122,Alaska,Kenai Peninsula Borough,9.4,60.0858486,-151.382264
79,2130,Alaska,Ketchikan Gateway Borough,7.9,55.5103345,-131.389286
80,2150,Alaska,Kodiak Island Borough,6.3,57.53693430000001,-153.2659352
81,2158,Alaska,Kusilvak Census Area,28.6,62.1458336,-162.891919
82,2164,Alaska,Lake and Peninsula Borough,9.8,58.0458356,-156.5982286
83,2170,Alaska,Matanuska-Susitna Borough,9.8,62.2599347,-150.1729153
84,2180,Alaska,Nome Census Area,16.5,64.8329974,-164.256602
85,2185,Alaska,North Slope Borough,9.3,69.05787579999999,-152.8628274
86,2188,Alaska,Northwest Arctic Borough,21.9,67.2872981,-160.0342624
87,2195,Alaska,Petersburg Borough,8.4,56.8124267,-132.9554472
88,2198,Alaska,Prince of Wales-Hyder Census Area,13.9,55.3242244,-132.6044581
89,2220,Alaska,Sitka City and Borough,3.8,57.0530556,-135.33
90,2230,Alaska,Skagway Municipality,7.8,59.45540250000001,-135.315279
91,2240,Alaska,Southeast Fairbanks Census Area,9.4,63.9603869,-143.6296999
92,2261,Alaska,Valdez-Cordova Census Area,10.7,61.4787707,-144.1147195
93,2275,Alaska,Wrangell City and Borough,7.5,56.4708333,-132.3766666
94,2282,Alaska,Yakutat City and Borough,7.9,59.5469878,-139.7272808
95,2290,Alaska,Yukon-Koyukuk Census Area,18.2,65.8443666,-153.4302993
96,4001,Arizona,Apache,18.2,35.5313224,-109.3783206
97,4003,Arizona,Cochise,8.7,32.1139688,-109.9211756
98,4005,Arizona,Coconino,8.8,35.6647545,-111.4752851
99,4007,Arizona,Gila,12.8,33.6370567,-110.5215459
100,4009,Arizona,Graham,14.1,33.076805,-109.7591675
101,4011,Arizona,Greenlee,10.0,33.2405598,-109.2831531
102,4012,Arizona,La Paz,11.2,34.0061091,-113.9536466
103,4013,Arizona,Maricopa,7.7,33.0581063,-112.0476423
104,4015,Arizona,Mohave,13.2,35.2143346,-113.7632828
105,4017,Arizona,Navajo,19.8,36.0672173,-109.1880047
106,4019,Arizona,Pima,10.0,32.8961755,-109.8275815
107,4021,Arizona,Pinal,10.6,32.8162061,-111.2845025
108,4023,Arizona,Santa Cruz,11.3,31.5986127,-110.8076084
109,4025,Arizona,Yavapai,10.0,34.6463981,-112.4291464
110,4027,Arizona,Yuma,13.1,32.6926512,-114.6276916
111,5001,Arkansas,Arkansas,8.3,33.6087222,-91.2067794
112,5003,Arkansas,Ashley,11.8,33.1565939,-91.7538817
113,5005,Arkansas,Baxter,7.6,36.3261815,-92.38136209999999
114,5007,Arkansas,Benton,4.2,34.5645371,-92.586828
115,5009,Arkansas,Boone,8.4,36.3118662,-93.0175712
116,5011,Arkansas,Bradley,9.4,33.0981881,-93.6548983
117,5013,Arkansas,Calhoun,7.2,33.5020885,-92.539603
118,5015,Arkansas,Carroll,6.2,36.2987495,-93.5003454
119,5017,Arkansas,Chicot,11.5,33.3419551,-91.28910359999999
120,5019,Arkansas,Clark,8.4,34.0232374,-93.17796589999999
121,5021,Arkansas,Clay,9.5,36.3492244,-90.37483540000001
122,5023,Arkansas,Cleburne,10.2,35.4605769,-92.0665197
123,5025,Arkansas,Cleveland,9.7,35.4214685,-92.7096079
124,5027,Arkansas,Columbia,10.1,33.1285176,-93.17796589999999
125,5029,Arkansas,Conway,8.1,35.0886963,-92.4421011
126,5031,Arkansas,Craighead,7.5,35.8260959,-90.6773046
127,5033,Arkansas,Crawford,7.9,35.5762761,-94.315422
128,5035,Arkansas,Crittenden,9.9,35.3021443,-90.37483540000001
129,5037,Arkansas,Cross,8.6,35.2998913,-90.8294002
130,5039,Arkansas,Dallas,8.3,34.53594030000001,-94.2190985
131,5041,Arkansas,Desha,17.7,35.7361886,-91.67986189999999
132,5043,Arkansas,Drew,14.3,33.5156463,-91.7538817
133,5045,Arkansas,Faulkner,6.6,35.1035858,-92.38136209999999
134,5047,Arkansas,Franklin,11.0,36.170346,-91.7759792
135,5049,Arkansas,Fulton,7.6,33.6145649,-93.81351640000001
136,5051,Arkansas,Garland,9.2,33.3629029,-93.70990119999999
137,5053,Arkansas,Grant,9.4,34.2628015,-92.4208713
138,5055,Arkansas,Greene,9.0,36.1314931,-90.563609
139,5057,Arkansas,Hempstead,7.9,33.6530112,-93.66232389999999
140,5059,Arkansas,Hot Spring,7.6,34.5037004,-93.0551795
141,5061,Arkansas,Howard,8.5,34.1318213,-94.028678
142,5063,Arkansas,Independence,6.9,35.8174139,-91.5983959
143,5065,Arkansas,Izard,10.0,36.1610924,-91.9099238
144,5067,Arkansas,Jackson,7.9,35.6479574,-91.13530200000001
145,5069,Arkansas,Jefferson,11.2,34.3806516,-92.1640352
146,5071,Arkansas,Johnson,6.2,36.1328564,-94.16548209999999
147,5073,Arkansas,Lafayette,12.5,33.2511695,-93.62178019999999
148,5075,Arkansas,Lawrence,6.9,35.9969735,-91.13530200000001
149,5077,Arkansas,Lee,17.3,34.7712669,-90.8294002
150,5079,Arkansas,Lincoln,14.2,35.949526,-94.4235482
151,5081,Arkansas,Little River,8.8,33.6808926,-94.19234000000002
152,5083,Arkansas,Logan,8.1,35.2475011,-93.66232389999999
153,5085,Arkansas,Lonoke,5.9,34.7839795,-91.8998611
154,5087,Arkansas,Madison,7.3,35.0131472,-90.72260969999999
155,5089,Arkansas,Marion,10.9,35.2145336,-90.1964835
156,5091,Arkansas,Miller,9.6,33.3335556,-93.86553029999999
157,5093,Arkansas,Mississippi,12.0,35.8279728,-90.0746767
158,5095,Arkansas,Monroe,12.8,34.7348191,-91.10456579999999
159,5097,Arkansas,Montgomery,4.3,34.5424074,-93.66232389999999
160,5099,Arkansas,Nevada,9.5,33.6621386,-93.33889169999999
161,5101,Arkansas,Newton,4.4,35.9603994,-93.17796589999999
162,5103,Arkansas,Ouachita,8.3,33.4309213,-92.7054634
163,5105,Arkansas,Perry,6.8,35.0475869,-92.7940557
164,5107,Arkansas,Phillips,18.1,34.4611206,-90.86751339999999
165,5109,Arkansas,Pike,6.6,34.1876975,-93.66232389999999
166,5111,Arkansas,Poinsett,10.0,35.6078586,-90.6393702
167,5113,Arkansas,Polk,9.0,34.5268097,-94.15137639999999
168,5115,Arkansas,Pope,7.6,35.440627,-93.0175712
169,5117,Arkansas,Prairie,6.2,34.7636336,-91.5983959
170,5119,Arkansas,Pulaski,7.5,34.75386150000001,-92.2236667
171,5121,Arkansas,Randolph,5.4,36.3457918,-90.9820668
172,5123,Arkansas,St. Francis,11.7,36.4533933,-90.1453751
173,5125,Arkansas,Saline,5.3,34.5708215,-92.539603
174,5127,Arkansas,Scott,10.9,34.6964808,-92.0962552
175,5129,Arkansas,Searcy,5.9,35.2468204,-91.73368459999999
176,5131,Arkansas,Sebastian,6.1,35.2260397,-94.315422
177,5133,Arkansas,Sevier,9.3,34.0346222,-94.27436279999999
178,5135,Arkansas,Sharp,8.8,36.16759740000001,-91.44346900000001
179,5137,Arkansas,Stone,7.0,35.8075142,-92.2236667
180,5139,Arkansas,Union,9.7,33.1431092,-92.539603
181,5141,Arkansas,Van Buren,11.2,35.436756,-94.34826799999999
182,5143,Arkansas,Washington,6.2,33.774005,-93.68267960000001
183,5145,Arkansas,White,7.1,35.2900612,-91.7538817
184,5147,Arkansas,Woodruff,12.4,35.1215846,-91.13530200000001
185,5149,Arkansas,Yell,8.3,35.0810824,-93.33889169999999
186,6001,California,Alameda,8.3,37.7798721,-122.2821855
187,6003,California,Alpine,10.7,32.8350521,-116.7664109
188,6005,California,Amador,14.0,38.3488921,-120.7740931
189,6007,California,Butte,12.1,39.6253952,-121.5370003
190,6009,California,Calaveras,12.1,38.1960477,-120.6805037
191,6011,California,Colusa,10.4,39.2143343,-122.0094175
192,6013,California,Contra Costa,8.8,37.8534093,-121.9017954
193,6015,California,Del Norte,11.5,41.7076287,-123.9659708
194,6017,California,El Dorado,11.1,38.74263759999999,-120.4357631
195,6019,California,Fresno,13.2,36.7377981,-119.7871247
196,6021,California,Glenn,12.6,39.5218283,-122.0138651
197,6023,California,Humboldt,10.5,40.7450055,-123.8695086
198,6025,California,Imperial,17.4,32.8475528,-115.5694391
199,6027,California,Inyo,6.8,36.3091865,-117.5495846
200,6029,California,Kern,12.7,35.4937274,-118.8596804
201,6031,California,Kings,13.0,36.0988489,-119.8815203
202,6033,California,Lake,14.6,40.3718429,-122.2333825
203,6035,California,Lassen,10.9,40.5394389,-120.7120023
204,6037,California,Los Angeles,10.0,34.0522342,-118.2436849
205,6039,California,Madera,7.5,36.9613356,-120.0607176
206,6041,California,Marin,5.7,38.083403,-122.7633036
207,6043,California,Mariposa,11.6,37.4849377,-119.9662843
208,6045,California,Mendocino,12.2,39.3076744,-123.7994591
209,6047,California,Merced,16.2,37.3021632,-120.4829677
210,6049,California,Modoc,8.6,41.4565165,-120.629366
211,6051,California,Mono,13.4,37.9218608,-118.9528645
212,6053,California,Monterey,8.4,36.6002378,-121.8946761
213,6055,California,Napa,7.5,38.2975381,-122.286865
214,6057,California,Nevada,9.8,39.1346666,-121.1710389
215,6059,California,Orange,7.6,33.7879139,-117.8531007
216,6061,California,Placer,8.3,39.0915751,-120.8039474
217,6063,California,Plumas,15.2,39.99268319999999,-120.8039474
218,6065,California,Riverside,12.9,33.9806005,-117.3754942
219,6067,California,Sacramento,11.8,38.5815719,-121.4943996
220,6069,California,San Benito,12.2,36.5760883,-120.9876321
221,6071,California,San Bernardino,12.6,34.1083449,-117.2897652
222,6073,California,San Diego,8.7,32.715738,-117.1610838
223,6075,California,San Francisco,6.8,37.7749295,-122.4194155
224,6077,California,San Joaquin,13.7,36.6066162,-120.1890447
225,6079,California,San Luis Obispo,6.6,35.2827524,-120.6596156
226,6081,California,San Mateo,6.7,37.5629917,-122.3255254
227,6083,California,Santa Barbara,8.0,34.4208305,-119.6981901
228,6085,California,Santa Clara,7.7,37.3541079,-121.9552356
229,6087,California,Santa Cruz,7.6,36.9741171,-122.0307963
230,6089,California,Shasta,10.3,40.598119,-122.4907566
231,6091,California,Sierra,8.0,39.5532845,-120.2512728
232,6093,California,Siskiyou,12.7,41.7743261,-122.5770126
233,6095,California,Solano,11.4,38.3104969,-121.9017954
234,6097,California,Sonoma,8.1,38.291859,-122.4580356
235,6099,California,Stanislaus,15.2,37.5090711,-120.9876321
236,6101,California,Sutter,13.2,39.1598915,-121.7527482
237,6103,California,Tehama,13.2,40.0271015,-122.1233228
238,6105,California,Trinity,9.0,40.6329485,-123.0622553
239,6107,California,Tulare,12.0,36.2077288,-119.3473379
240,6109,California,Tuolumne,12.9,37.9627027,-120.2412999
241,6111,California,Ventura,8.6,34.2804923,-119.2945199
242,6113,California,Yolo,9.0,38.732968,-121.8072828
243,6115,California,Yuba,14.8,39.1404477,-121.6169108
244,8001,Colorado,Adams,7.9,39.8398269,-104.1930918
245,8003,Colorado,Alamosa,10.4,37.4694491,-105.8700214
246,8005,Colorado,Arapahoe,7.2,39.62031,-104.332644
247,8007,Colorado,Archuleta,8.2,37.1604318,-107.0067031
248,8009,Colorado,Baca,4.5,37.394731,-102.5298028
249,8011,Colorado,Bent,8.3,38.0036339,-103.0817903
250,8013,Colorado,Boulder,6.1,40.0149856,-105.2705456
251,8014,Colorado,Broomfield,5.5,39.9205411,-105.0866504
252,8015,Colorado,Chaffee,5.9,38.7536679,-106.2522143
253,8017,Colorado,Cheyenne,9.3,38.8002562,-102.6216211
254,8019,Colorado,Clear Creek,5.4,39.7966884,-105.042603
255,8021,Colorado,Conejos,9.7,37.0883453,-106.0197445
256,8023,Colorado,Costilla,14.0,37.2049596,-105.5005483
257,8025,Colorado,Crowley,27.0,38.1930606,-103.8560646
258,8027,Colorado,Custer,14.0,38.0615578,-105.3131185
259,8029,Colorado,Delta,11.7,38.7422062,-108.0689582
260,8031,Colorado,Denver,6.3,39.7392358,-104.990251
261,8033,Colorado,Dolores,4.6,37.4738818,-108.5045356
262,8035,Colorado,Douglas,4.1,39.2587106,-104.9388853
263,8037,Colorado,Eagle,4.4,39.6552634,-106.8286507
264,8039,Colorado,Elbert,6.7,39.2194678,-104.5371508
265,8041,Colorado,El Paso,8.4,38.9108325,-104.4723301
266,8043,Colorado,Fremont,9.2,38.5306514,-105.5005483
267,8045,Colorado,Garfield,6.9,38.5516638,-106.2922456
268,8047,Colorado,Gilpin,4.9,39.8770159,-105.4536718
269,8049,Colorado,Grand,5.7,40.0727382,-106.0640179
270,8051,Colorado,Gunnison,7.8,38.5458246,-106.9253207
271,8053,Colorado,Hinsdale,3.0,37.9316309,-107.3848831
272,8055,Colorado,Huerfano,15.0,37.6125984,-104.9388853
273,8057,Colorado,Jackson,1.5,40.6819242,-106.2522143
274,8059,Colorado,Jefferson,5.9,39.377255,-105.8005988
275,8061,Colorado,Kiowa,2.0,39.3472095,-104.4644112
276,8063,Colorado,Kit Carson,5.9,38.7611129,-102.7893667
277,8065,Colorado,Lake,5.7,40.25220729999999,-105.8230671
278,8067,Colorado,La Plata,5.2,37.2125857,-107.763621
279,8069,Colorado,Larimer,6.7,40.6955572,-105.5943388
280,8071,Colorado,Las Animas,9.2,38.0666735,-103.222708
281,8073,Colorado,Lincoln,6.3,39.0457549,-103.3587288
282,8075,Colorado,Logan,9.0,40.7056181,-102.989615
283,8077,Colorado,Mesa,8.7,39.1662458,-108.1388881
284,8079,Colorado,Mineral,1.6,37.6583677,-107.0067031
285,8081,Colorado,Moffat,5.9,37.9988882,-105.9100156
286,8083,Colorado,Montezuma,9.5,39.581098,-105.8672337
287,8085,Colorado,Montrose,10.2,38.4783198,-107.8761738
288,8087,Colorado,Morgan,6.2,40.2989226,-103.7289167
289,8089,Colorado,Otero,10.7,37.9397663,-103.6362715
290,8091,Colorado,Ouray,6.7,38.0227716,-107.6714487
291,8093,Colorado,Park,5.6,39.0897928,-105.5943388
292,8095,Colorado,Phillips,5.3,40.53713339999999,-102.3463875
293,8097,Colorado,Pitkin,7.7,38.6091612,-106.5166957
294,8099,Colorado,Prowers,9.7,37.84337560000001,-102.2547919
295,8101,Colorado,Pueblo,10.8,38.2544472,-104.6091409
296,8103,Colorado,Rio Blanco,4.2,39.9814297,-108.2377519
297,8105,Colorado,Rio Grande,8.1,37.5749508,-106.4405872
298,8107,Colorado,Routt,4.0,40.4771623,-107.1011931
299,8109,Colorado,Saguache,9.7,38.0875,-106.1419671
300,8111,Colorado,San Juan,13.8,37.7573704,-107.71625
301,8113,Colorado,San Miguel,5.8,37.9781237,-108.1428669
302,8115,Colorado,Sedgwick,6.4,40.9363799,-102.5254664
303,8117,Colorado,Summit,4.7,39.5911871,-106.0640179
304,8119,Colorado,Teller,8.2,38.86115789999999,-105.1726816
305,8121,Colorado,Washington,5.1,40.063745,-102.989615
306,8123,Colorado,Weld,6.6,40.3920718,-104.7158226
307,8125,Colorado,Yuma,2.5,40.1222084,-102.7252096
308,9001,Connecticut,Fairfield,9.0,41.1408363,-73.2612615
309,9003,Connecticut,Hartford,9.3,41.7658043,-72.6733723
310,9005,Connecticut,Litchfield,7.1,41.7472642,-73.1887165
311,9007,Connecticut,Middlesex,6.0,41.46985050000001,-72.4731529
312,9009,Connecticut,New Haven,9.5,41.308274,-72.9278835
313,9011,Connecticut,New London,8.3,41.3556539,-72.0995209
314,9013,Connecticut,Tolland,6.8,41.8714865,-72.3686931
315,9015,Connecticut,Windham,9.3,41.6998208,-72.1570219
316,10001,Delaware,Kent,8.4,39.1440612,-75.4344727
317,10003,Delaware,New Castle,7.4,39.6620397,-75.5668166
318,10005,Delaware,Sussex,8.0,38.65308410000001,-75.4344727
319,11001,District of Columbia,District of Columbia,9.6,38.9071923,-77.0368707
320,12001,Florida,Alachua,7.9,29.7938144,-82.49442260000001
321,12003,Florida,Baker,8.9,30.7971318,-86.681344
322,12005,Florida,Bay,8.6,30.1805306,-85.684578
323,12007,Florida,Bradford,12.4,29.97238179999999,-82.1713632
324,12009,Florida,Brevard,10.9,28.263933,-80.7214417
325,12011,Florida,Broward,10.0,26.190096,-80.365865
326,12013,Florida,Calhoun,10.0,30.3475302,-85.1894045
327,12015,Florida,Charlotte,10.8,26.8946009,-81.909826
328,12017,Florida,Citrus,13.1,28.8848842,-82.5185837
329,12019,Florida,Clay,10.7,29.9943564,-81.77870209999999
330,12021,Florida,Collier,7.8,26.069985,-81.42789839999999
331,12023,Florida,Columbia,14.8,30.1812696,-82.605118
332,12027,Florida,DeSoto,9.4,27.2142078,-81.77870209999999
333,12029,Florida,Dixie,7.2,29.5207227,-83.1649001
334,12031,Florida,Duval,10.0,30.3500511,-81.6035062
335,12033,Florida,Escambia,9.4,30.6389408,-87.3413599
336,12035,Florida,Flagler,9.3,29.4086072,-81.2518833
337,12037,Florida,Franklin,9.4,29.7817695,-84.8567932
338,12039,Florida,Gadsden,11.2,30.5562947,-84.6479124
339,12041,Florida,Gilchrist,10.4,29.6871128,-82.82097399999999
340,12043,Florida,Glades,12.9,26.984415,-81.0754657
341,12045,Florida,Gulf,10.2,29.8001623,-85.35496499999999
342,12047,Florida,Hamilton,15.8,30.47559579999999,-82.95015579999999
343,12049,Florida,Hardee,11.0,27.4501733,-81.8224362
344,12051,Florida,Hendry,11.9,26.6105319,-81.0754657
345,12053,Florida,Hernando,13.7,28.8999815,-82.37454009999999
346,12055,Florida,Highlands,13.3,27.3400286,-81.34002679999999
347,12057,Florida,Hillsborough,9.0,27.9903597,-82.3017728
348,12059,Florida,Holmes,15.4,30.8740806,-85.80766
349,12061,Florida,Indian River,12.2,28.2142068,-80.6431877
350,12063,Florida,Jackson,13.2,30.3321838,-81.65565099999999
351,12065,Florida,Jefferson,9.4,30.4311978,-83.8897057
352,12067,Florida,Lafayette,14.6,30.0299573,-83.2077645
353,12069,Florida,Lake,9.7,28.6736915,-81.36365860000001
354,12071,Florida,Lee,10.1,30.4196584,-83.30042159999999
355,12073,Florida,Leon,10.6,30.4906177,-84.1857115
356,12075,Florida,Levy,11.1,29.3178545,-82.82097399999999
357,12077,Florida,Liberty,10.2,30.1507777,-84.8567932
358,12079,Florida,Madison,11.8,30.4693772,-83.41292539999999
359,12081,Florida,Manatee,8.6,27.4799195,-82.34518899999999
360,12083,Florida,Marion,12.0,29.2787765,-82.12783999999999
361,12085,Florida,Martin,9.7,27.0804935,-80.4103957
362,12086,Florida,Miami-Dade,10.0,25.5516034,-80.6326916
363,12087,Florida,Monroe,6.0,24.5557001,-81.78259849999999
364,12089,Florida,Nassau,9.8,30.5927334,-81.8224362
365,12091,Florida,Okaloosa,6.9,30.57734009999999,-86.6611083
366,12093,Florida,Okeechobee,11.8,27.2439349,-80.82978279999999
367,12095,Florida,Orange,9.1,28.4844995,-81.2518833
368,12097,Florida,Osceola,9.8,28.1019838,-81.0754657
369,12099,Florida,Palm Beach,9.5,26.7056206,-80.0364297
370,12101,Florida,Pasco,9.4,28.3232418,-82.4319405
371,12103,Florida,Pinellas,8.4,27.876394,-82.7778579
372,12105,Florida,Polk,10.6,27.8617347,-81.6911559
373,12107,Florida,Putnam,12.6,29.6265157,-81.77870209999999
374,12109,Florida,St. Johns,6.7,30.0820653,-81.5471201
375,12111,Florida,St. Lucie,12.4,27.499208,-80.34219840000002
376,12113,Florida,Santa Rosa,7.9,30.3960324,-86.2288322
377,12115,Florida,Sarasota,8.2,27.3364347,-82.53065269999999
378,12117,Florida,Seminole,9.4,27.8397466,-82.79121339999999
379,12119,Florida,Sumter,9.0,28.6747526,-82.08429009999999
380,12121,Florida,Suwannee,11.1,29.3288499,-83.14429439999999
381,12123,Florida,Taylor,9.0,30.0993767,-83.67739279999999
382,12125,Florida,Union,11.7,30.0745112,-82.34518899999999
383,12127,Florida,Volusia,9.1,29.0279842,-81.0754657
384,12129,Florida,Wakulla,9.3,30.1301689,-84.3542049
385,12131,Florida,Walton,7.9,30.56401989999999,-86.17517590000001
386,12133,Florida,Washington,11.5,30.548737,-85.684578
387,13001,Georgia,Appling,7.9,33.54609000000001,-82.3163154
388,13003,Georgia,Atkinson,7.3,31.2932161,-82.8640623
389,13005,Georgia,Bacon,4.4,31.5412085,-82.4319405
390,13007,Georgia,Baker,7.1,31.2816037,-84.4802606
391,13009,Georgia,Baldwin,8.4,34.4917665,-83.5373946
392,13011,Georgia,Banks,8.5,34.378542,-83.46435509999999
393,13013,Georgia,Barrow,10.1,34.0142667,-83.6986568
394,13015,Georgia,Bartow,8.8,32.8787666,-82.4737399
395,13017,Georgia,Ben Hill,9.7,31.7664035,-83.2077645
396,13019,Georgia,Berrien,13.8,31.3118535,-83.2077645
397,13021,Georgia,Bibb,12.4,32.7865735,-83.7199136
398,13023,Georgia,Bleckley,4.8,32.4087854,-83.3789389
399,13025,Georgia,Brantley,10.9,31.1510963,-81.9971108
400,13027,Georgia,Brooks,17.0,33.2909517,-84.45936999999999
401,13029,Georgia,Bryan,9.0,32.0236584,-81.47183869999999
402,13031,Georgia,Bulloch,9.1,32.3595678,-81.77870209999999
403,13033,Georgia,Burke,8.2,33.088805,-81.9534815
404,13035,Georgia,Butts,10.3,33.2691443,-83.9532571
405,13037,Georgia,Calhoun,7.7,34.502587,-84.9510542
406,13039,Georgia,Camden,8.5,30.898276,-81.6035062
407,13043,Georgia,Candler,8.1,32.4241804,-82.08429009999999
408,13045,Georgia,Carroll,12.1,33.5642239,-85.0649071
409,13047,Georgia,Catoosa,8.1,34.8981727,-85.14793639999999
410,13049,Georgia,Charlton,13.8,30.7917361,-82.08429009999999
411,13051,Georgia,Chatham,9.7,31.9994194,-81.1196075
412,13053,Georgia,Chattahoochee,16.5,32.2952274,-84.8150781
413,13055,Georgia,Chattooga,10.0,34.4632661,-85.31362179999999
414,13057,Georgia,Cherokee,6.3,34.2514526,-84.4802606
415,13059,Georgia,Clarke,9.2,33.9519347,-83.357567
416,13061,Georgia,Clay,19.2,31.6447931,-85.0025539
417,13063,Georgia,Clayton,14.1,34.8781479,-83.4009933
418,13065,Georgia,Clinch,10.7,30.9716985,-82.82097399999999
419,13067,Georgia,Cobb,8.0,31.9590772,-83.9884612
420,13069,Georgia,Coffee,8.3,31.5182285,-82.82097399999999
421,13071,Georgia,Colquitt,8.3,31.17129349999999,-84.7332527
422,13073,Georgia,Columbia,7.1,33.5098514,-82.25832969999999
423,13075,Georgia,Cook,6.6,31.1428037,-83.46435509999999
424,13077,Georgia,Coweta,7.0,33.3716708,-84.7315563
425,13079,Georgia,Crawford,11.0,33.8828954,-83.154596
426,13081,Georgia,Crisp,15.5,31.8875724,-83.804868
427,13083,Georgia,Dade,6.1,34.9109017,-85.47880649999999
